Time,# Clients
2022-09-23 00:00:00+00:00,3672
2022-09-24 00:00:00+00:00,2772
2022-09-25 00:00:00+00:00,320
2022-09-26 00:00:00+00:00,3660
2022-09-27 00:00:00+00:00,3757
2022-09-28 00:00:00+00:00,2835
2022-09-29 00:00:00+00:00,3702
2022-09-30 00:00:00+00:00,3314
2022-10-01 00:00:00+00:00,2700
2022-10-02 00:00:00+00:00,287
2022-10-03 00:00:00+00:00,3802
2022-10-04 00:00:00+00:00,4180
2022-10-05 00:00:00+00:00,3867
2022-10-06 00:00:00+00:00,3913
2022-10-07 00:00:00+00:00,2313
2022-10-08 00:00:00+00:00,2835
2022-10-09 00:00:00+00:00,307
2022-10-10 00:00:00+00:00,3583
2022-10-11 00:00:00+00:00,3783
2022-10-12 00:00:00+00:00,3684
2022-10-13 00:00:00+00:00,3444
2022-10-14 00:00:00+00:00,3595
2022-10-15 00:00:00+00:00,2704
2022-10-16 00:00:00+00:00,306
2022-10-17 00:00:00+00:00,550
2022-10-18 00:00:00+00:00,3482
2022-10-19 00:00:00+00:00,3690
2022-10-20 00:00:00+00:00,3583
2022-10-21 00:00:00+00:00,3732
2022-10-22 00:00:00+00:00,2285
2022-10-23 00:00:00+00:00,288
2022-10-24 00:00:00+00:00,3757
2022-10-25 00:00:00+00:00,3757
2022-10-26 00:00:00+00:00,3996
2022-10-27 00:00:00+00:00,3527
2022-10-28 00:00:00+00:00,3808
2022-10-29 00:00:00+00:00,2884
2022-10-30 00:00:00+00:00,319
2022-10-31 00:00:00+00:00,3555
2022-11-01 00:00:00+00:00,3672
2022-11-02 00:00:00+00:00,3444
2022-11-03 00:00:00+00:00,2997
2022-11-04 00:00:00+00:00,3304
2022-11-05 00:00:00+00:00,1434
2022-11-06 00:00:00+00:00,278
2022-11-07 00:00:00+00:00,418
2022-11-08 00:00:00+00:00,3678
2022-11-09 00:00:00+00:00,3927
2022-11-10 00:00:00+00:00,4173
2022-11-11 00:00:00+00:00,3757
2022-11-12 00:00:00+00:00,2792
2022-11-13 00:00:00+00:00,294
2022-11-14 00:00:00+00:00,268
2022-11-15 00:00:00+00:00,2063
2022-11-16 00:00:00+00:00,1507
2022-11-17 00:00:00+00:00,3370
2022-11-18 00:00:00+00:00,2715
2022-11-19 00:00:00+00:00,2457
2022-11-20 00:00:00+00:00,290
2022-11-21 00:00:00+00:00,3549
2022-11-22 00:00:00+00:00,3618
2022-11-23 00:00:00+00:00,3893
2022-11-24 00:00:00+00:00,3350
2022-11-25 00:00:00+00:00,3250
2022-11-26 00:00:00+00:00,2398
2022-11-27 00:00:00+00:00,354
2022-11-28 00:00:00+00:00,3488
2022-11-29 00:00:00+00:00,3572
2022-11-30 00:00:00+00:00,3732
2022-12-01 00:00:00+00:00,3381
2022-12-02 00:00:00+00:00,3444
2022-12-03 00:00:00+00:00,2545
2022-12-04 00:00:00+00:00,306
2022-12-05 00:00:00+00:00,3274
2022-12-06 00:00:00+00:00,3054
2022-12-07 00:00:00+00:00,2249
2022-12-08 00:00:00+00:00,301
2022-12-09 00:00:00+00:00,1801
2022-12-10 00:00:00+00:00,1243
2022-12-11 00:00:00+00:00,299
2022-12-12 00:00:00+00:00,1286
2022-12-13 00:00:00+00:00,900
2022-12-14 00:00:00+00:00,953
2022-12-15 00:00:00+00:00,817
2022-12-16 00:00:00+00:00,798
2022-12-17 00:00:00+00:00,323
2022-12-18 00:00:00+00:00,286
2022-12-19 00:00:00+00:00,500
2022-12-20 00:00:00+00:00,504
2022-12-21 00:00:00+00:00,489
2022-12-22 00:00:00+00:00,503
2022-12-23 00:00:00+00:00,465
2022-12-24 00:00:00+00:00,285
2022-12-25 00:00:00+00:00,265
2022-12-26 00:00:00+00:00,373
2022-12-27 00:00:00+00:00,362
2022-12-28 00:00:00+00:00,348
2022-12-29 00:00:00+00:00,349
2022-12-30 00:00:00+00:00,350
2022-12-31 00:00:00+00:00,268
2023-01-01 00:00:00+00:00,267
2023-01-02 00:00:00+00:00,291
2023-01-03 00:00:00+00:00,313
2023-01-04 00:00:00+00:00,327
2023-01-05 00:00:00+00:00,347
2023-01-06 00:00:00+00:00,336
2023-01-07 00:00:00+00:00,285
2023-01-08 00:00:00+00:00,261
2023-01-09 00:00:00+00:00,270
2023-01-10 00:00:00+00:00,525
2023-01-11 00:00:00+00:00,1073
2023-01-12 00:00:00+00:00,710
2023-01-13 00:00:00+00:00,863
2023-01-14 00:00:00+00:00,537
2023-01-15 00:00:00+00:00,336
2023-01-16 00:00:00+00:00,2792
2023-01-17 00:00:00+00:00,3159
2023-01-18 00:00:00+00:00,3072
2023-01-19 00:00:00+00:00,2912
2023-01-20 00:00:00+00:00,2792
2023-01-21 00:00:00+00:00,1837
2023-01-22 00:00:00+00:00,278
2023-01-23 00:00:00+00:00,3751
2023-01-24 00:00:00+00:00,3913
2023-01-25 00:00:00+00:00,3854
2023-01-26 00:00:00+00:00,3783
2023-01-27 00:00:00+00:00,3324
2023-01-28 00:00:00+00:00,2685
2023-01-29 00:00:00+00:00,324
2023-01-30 00:00:00+00:00,3583
2023-01-31 00:00:00+00:00,3860
2023-02-01 00:00:00+00:00,3294
2023-02-02 00:00:00+00:00,3714
2023-02-03 00:00:00+00:00,2780
2023-02-04 00:00:00+00:00,2570
2023-02-05 00:00:00+00:00,277
2023-02-06 00:00:00+00:00,3927
2023-02-07 00:00:00+00:00,3789
2023-02-08 00:00:00+00:00,4032
2023-02-09 00:00:00+00:00,3920
2023-02-10 00:00:00+00:00,1753
2023-02-11 00:00:00+00:00,2261
2023-02-12 00:00:00+00:00,369
2023-02-13 00:00:00+00:00,3847
2023-02-14 00:00:00+00:00,4053
2023-02-15 00:00:00+00:00,4032
2023-02-16 00:00:00+00:00,3920
2023-02-17 00:00:00+00:00,1675
2023-02-18 00:00:00+00:00,359
2023-02-19 00:00:00+00:00,294
2023-02-20 00:00:00+00:00,301
2023-02-21 00:00:00+00:00,294
2023-02-22 00:00:00+00:00,3428
2023-02-23 00:00:00+00:00,3770
2023-02-24 00:00:00+00:00,3732
2023-02-25 00:00:00+00:00,2741
2023-02-26 00:00:00+00:00,309
2023-02-27 00:00:00+00:00,3678
2023-02-28 00:00:00+00:00,3880
2023-04-01 00:00:00+00:00,2556
2023-04-02 00:00:00+00:00,315
2023-04-03 00:00:00+00:00,357
2023-04-04 00:00:00+00:00,355
2023-04-05 00:00:00+00:00,337
2023-04-06 00:00:00+00:00,280
2023-04-07 00:00:00+00:00,294
2023-04-08 00:00:00+00:00,314
2023-04-09 00:00:00+00:00,319
2023-04-10 00:00:00+00:00,3407
2023-04-11 00:00:00+00:00,3948
2023-04-12 00:00:00+00:00,3696
2023-04-13 00:00:00+00:00,3696
2023-04-14 00:00:00+00:00,3527
2023-04-15 00:00:00+00:00,2734
2023-04-16 00:00:00+00:00,347
2023-04-17 00:00:00+00:00,3493
2023-04-18 00:00:00+00:00,4003
2023-04-19 00:00:00+00:00,3860
2023-04-20 00:00:00+00:00,3684
2023-04-21 00:00:00+00:00,3538
2023-04-22 00:00:00+00:00,2749
2023-04-23 00:00:00+00:00,314
2023-04-24 00:00:00+00:00,3515
2023-04-25 00:00:00+00:00,3690
2023-04-26 00:00:00+00:00,3299
2023-04-27 00:00:00+00:00,3067
2023-04-28 00:00:00+00:00,3041
2023-04-29 00:00:00+00:00,2147
2023-04-30 00:00:00+00:00,349
2023-05-01 00:00:00+00:00,302
2023-05-02 00:00:00+00:00,932
2023-05-03 00:00:00+00:00,985
2023-05-04 00:00:00+00:00,1140
2023-05-05 00:00:00+00:00,1770
2023-05-06 00:00:00+00:00,699
2023-05-07 00:00:00+00:00,361
2023-05-08 00:00:00+00:00,951
2023-05-09 00:00:00+00:00,770
2023-05-10 00:00:00+00:00,817
2023-05-11 00:00:00+00:00,887
2023-05-12 00:00:00+00:00,803
2023-05-13 00:00:00+00:00,658
2023-05-14 00:00:00+00:00,340
2023-05-15 00:00:00+00:00,2267
2023-05-16 00:00:00+00:00,2875
2023-05-17 00:00:00+00:00,2823
2023-05-18 00:00:00+00:00,2768
2023-05-19 00:00:00+00:00,2892
2023-05-20 00:00:00+00:00,1985
2023-05-21 00:00:00+00:00,287
2023-05-22 00:00:00+00:00,295
2023-05-23 00:00:00+00:00,3583
2023-05-24 00:00:00+00:00,3572
2023-05-25 00:00:00+00:00,3391
2023-05-26 00:00:00+00:00,3386
2023-05-27 00:00:00+00:00,2366
2023-05-28 00:00:00+00:00,326
2023-05-29 00:00:00+00:00,3834
2023-05-30 00:00:00+00:00,3860
2023-05-31 00:00:00+00:00,3770
2023-06-01 00:00:00+00:00,3549
2023-06-02 00:00:00+00:00,3739
2023-06-03 00:00:00+00:00,2601
2023-06-04 00:00:00+00:00,300
2023-06-05 00:00:00+00:00,4025
2023-06-06 00:00:00+00:00,3867
2023-06-07 00:00:00+00:00,4135
2023-06-08 00:00:00+00:00,3397
2023-06-09 00:00:00+00:00,3893
2023-06-10 00:00:00+00:00,2765
2023-06-11 00:00:00+00:00,329
2023-06-12 00:00:00+00:00,330
2023-06-13 00:00:00+00:00,3961
2023-06-14 00:00:00+00:00,3054
2023-06-15 00:00:00+00:00,3867
2023-06-16 00:00:00+00:00,3893
