Predicción,Tiempo
0.42780936,2024-01-20 16:00:00
0.42869207,2024-01-20 20:00:00
0.42955732,2024-01-21 00:00:00
0.43041104,2024-01-21 04:00:00
0.4312583,2024-01-21 08:00:00
0.43210334,2024-01-21 12:00:00
0.43294954,2024-01-21 16:00:00
0.43379954,2024-01-21 20:00:00
0.43465513,2024-01-22 00:00:00
0.4355175,2024-01-22 04:00:00
0.4363874,2024-01-22 08:00:00
0.43726492,2024-01-22 12:00:00
0.43814993,2024-01-22 16:00:00
0.43904203,2024-01-22 20:00:00
0.4399404,2024-01-23 00:00:00
0.44084448,2024-01-23 04:00:00
0.44175327,2024-01-23 08:00:00
0.442666,2024-01-23 12:00:00
0.4434167,2024-01-23 16:00:00
0.44479322,2024-01-23 20:00:00
0.44644302,2024-01-24 00:00:00
0.44783208,2024-01-24 04:00:00
0.44881228,2024-01-24 08:00:00
0.44938287,2024-01-24 12:00:00
0.45068228,2024-01-24 16:00:00
0.45210436,2024-01-24 20:00:00
0.45322084,2024-01-25 00:00:00
0.4542389,2024-01-25 04:00:00
0.45515692,2024-01-25 08:00:00
0.4559763,2024-01-25 12:00:00
0.45670977,2024-01-25 16:00:00
0.45737913,2024-01-25 20:00:00
0.45800945,2024-01-26 00:00:00
0.45862406,2024-01-26 04:00:00
0.45924205,2024-01-26 08:00:00
0.45987678,2024-01-26 12:00:00
0.46053678,2024-01-26 16:00:00
0.4612261,2024-01-26 20:00:00
0.46194613,2024-01-27 00:00:00
0.46269622,2024-01-27 04:00:00
0.46347547,2024-01-27 08:00:00
0.46428236,2024-01-27 12:00:00
0.4651158,2024-01-27 16:00:00
0.46597463,2024-01-27 20:00:00
0.4668578,2024-01-28 00:00:00
0.46776378,2024-01-28 04:00:00
0.46869066,2024-01-28 08:00:00
0.46963584,2024-01-28 12:00:00
0.47059557,2024-01-28 16:00:00
0.47156602,2024-01-28 20:00:00
0.47254276,2024-01-29 00:00:00
0.47352132,2024-01-29 04:00:00
0.4744979,2024-01-29 08:00:00
0.47546953,2024-01-29 12:00:00
0.47643432,2024-01-29 16:00:00
0.4773919,2024-01-29 20:00:00
0.47834322,2024-01-30 00:00:00
0.47929016,2024-01-30 04:00:00
0.48023543,2024-01-30 08:00:00
0.48118195,2024-01-30 12:00:00
0.4821321,2024-01-30 16:00:00
0.4830876,2024-01-30 20:00:00
0.48404858,2024-01-31 00:00:00
0.48501393,2024-01-31 04:00:00
0.4859809,2024-01-31 08:00:00
0.48694545,2024-01-31 12:00:00
0.48788375,2024-01-31 16:00:00
0.48880956,2024-01-31 20:00:00
0.48972255,2024-02-01 00:00:00
0.49062327,2024-02-01 04:00:00
0.4915132,2024-02-01 08:00:00
0.49239454,2024-02-01 12:00:00
0.49331573,2024-02-01 16:00:00
0.49423692,2024-02-01 20:00:00
0.49515805,2024-02-02 00:00:00
0.4960792,2024-02-02 04:00:00
0.49700046,2024-02-02 08:00:00
0.49792165,2024-02-02 12:00:00
0.4988428,2024-02-02 16:00:00
0.49976403,2024-02-02 20:00:00
0.5006852,2024-02-03 00:00:00
0.5016064,2024-02-03 04:00:00
0.50252765,2024-02-03 08:00:00
0.5034489,2024-02-03 12:00:00
0.50437015,2024-02-03 16:00:00
0.5052914,2024-02-03 20:00:00
0.50621265,2024-02-04 00:00:00
0.5071339,2024-02-04 04:00:00
0.5080551,2024-02-04 08:00:00
0.5089764,2024-02-04 12:00:00
0.5098977,2024-02-04 16:00:00
0.510819,2024-02-04 20:00:00
0.51174027,2024-02-05 00:00:00
0.51266164,2024-02-05 04:00:00
0.5135829,2024-02-05 08:00:00
0.5145042,2024-02-05 12:00:00
0.5154255,2024-02-05 16:00:00
0.5163469,2024-02-05 20:00:00
0.5172682,2024-02-06 00:00:00
0.5181896,2024-02-06 04:00:00
0.519111,2024-02-06 08:00:00
0.5200323,2024-02-06 12:00:00
0.5209537,2024-02-06 16:00:00
0.521875,2024-02-06 20:00:00
0.5227965,2024-02-07 00:00:00
0.5237179,2024-02-07 04:00:00
0.5246393,2024-02-07 08:00:00
0.5255607,2024-02-07 12:00:00
0.5264821,2024-02-07 16:00:00
0.52740365,2024-02-07 20:00:00
0.52832514,2024-02-08 00:00:00
0.52924657,2024-02-08 04:00:00
0.53016794,2024-02-08 08:00:00
0.5310895,2024-02-08 12:00:00
0.532011,2024-02-08 16:00:00
0.53293246,2024-02-08 20:00:00
0.533854,2024-02-09 00:00:00
0.53477556,2024-02-09 04:00:00
0.53569704,2024-02-09 08:00:00
0.53661853,2024-02-09 12:00:00
0.53731793,2024-02-09 16:00:00
0.53836524,2024-02-09 20:00:00
0.5395391,2024-02-10 00:00:00
0.54035556,2024-02-10 04:00:00
0.54071325,2024-02-10 08:00:00
0.5406498,2024-02-10 12:00:00
0.54236305,2024-02-10 16:00:00
0.54408634,2024-02-10 20:00:00
0.5453855,2024-02-11 00:00:00
0.5465314,2024-02-11 04:00:00
0.5475507,2024-02-11 08:00:00
0.5484637,2024-02-11 12:00:00
0.54929453,2024-02-11 16:00:00
0.5480841,2024-02-11 20:00:00
0.54478294,2024-02-12 00:00:00
0.5395034,2024-02-12 04:00:00
0.5324439,2024-02-12 08:00:00
0.5238551,2024-02-12 12:00:00
0.51401347,2024-02-12 16:00:00
0.5032012,2024-02-12 20:00:00
0.49168992,2024-02-13 00:00:00
0.47973073,2024-02-13 04:00:00
0.4675455,2024-02-13 08:00:00
0.45532286,2024-02-13 12:00:00
0.4432162,2024-02-13 16:00:00
0.43134344,2024-02-13 20:00:00
0.41978833,2024-02-14 00:00:00
0.4086038,2024-02-14 04:00:00
0.39781517,2024-02-14 08:00:00
0.3874246,2024-02-14 12:00:00
0.37741548,2024-02-14 16:00:00
0.36775738,2024-02-14 20:00:00
0.35841015,2024-02-15 00:00:00
0.34932873,2024-02-15 04:00:00
0.34046608,2024-02-15 08:00:00
0.3317766,2024-02-15 12:00:00
0.32321823,2024-02-15 16:00:00
0.314754,2024-02-15 20:00:00
0.30635294,2024-02-16 00:00:00
0.29798988,2024-02-16 04:00:00
0.28964517,2024-02-16 08:00:00
0.2813041,2024-02-16 12:00:00
0.27248657,2024-02-16 16:00:00
0.2677362,2024-02-16 20:00:00
0.26591867,2024-02-17 00:00:00
0.26620167,2024-02-17 04:00:00
0.26809257,2024-02-17 08:00:00
0.27122742,2024-02-17 12:00:00
0.27408037,2024-02-17 16:00:00
0.27827916,2024-02-17 20:00:00
0.2832718,2024-02-18 00:00:00
0.28886667,2024-02-18 04:00:00
0.2947706,2024-02-18 08:00:00
0.30074507,2024-02-18 12:00:00
0.30664775,2024-02-18 16:00:00
0.3123225,2024-02-18 20:00:00
0.31768817,2024-02-19 00:00:00
0.32269806,2024-02-19 04:00:00
0.32733145,2024-02-19 08:00:00
0.33158764,2024-02-19 12:00:00
0.33548096,2024-02-19 16:00:00
0.3390354,2024-02-19 20:00:00
0.34228405,2024-02-20 00:00:00
0.34526587,2024-02-20 04:00:00
0.34802303,2024-02-20 08:00:00
0.3505985,2024-02-20 12:00:00
0.35303426,2024-02-20 16:00:00
0.35536984,2024-02-20 20:00:00
0.35764077,2024-02-21 00:00:00
0.35987768,2024-02-21 04:00:00
0.36210608,2024-02-21 08:00:00
0.3643459,2024-02-21 12:00:00
0.3666119,2024-02-21 16:00:00
0.3689138,2024-02-21 20:00:00
0.37125742,2024-02-22 00:00:00
0.3736451,2024-02-22 04:00:00
0.37607667,2024-02-22 08:00:00
0.37855026,2024-02-22 12:00:00
0.38106313,2024-02-22 16:00:00
0.38361168,2024-02-22 20:00:00
0.38619256,2024-02-23 00:00:00
0.38880235,2024-02-23 04:00:00
0.39143756,2024-02-23 08:00:00
0.39409497,2024-02-23 12:00:00
0.39683992,2024-02-23 16:00:00
0.40028682,2024-02-23 20:00:00
0.40404817,2024-02-24 00:00:00
0.40756676,2024-02-24 04:00:00
0.41067007,2024-02-24 08:00:00
0.41333738,2024-02-24 12:00:00
0.41613618,2024-02-24 16:00:00
0.41917256,2024-02-24 20:00:00
0.4219525,2024-02-25 00:00:00
0.4246475,2024-02-25 04:00:00
0.42723995,2024-02-25 08:00:00
0.42972162,2024-02-25 12:00:00
0.43213227,2024-02-25 16:00:00
0.434468,2024-02-25 20:00:00
0.43675426,2024-02-26 00:00:00
0.43901646,2024-02-26 04:00:00
0.44127655,2024-02-26 08:00:00
0.44355148,2024-02-26 12:00:00
0.4458529,2024-02-26 16:00:00
0.44818792,2024-02-26 20:00:00
0.45056003,2024-02-27 00:00:00
0.45297042,2024-02-27 04:00:00
0.45541856,2024-02-27 08:00:00
0.45790336,2024-02-27 12:00:00
0.46042317,2024-02-27 16:00:00
0.46297613,2024-02-27 20:00:00
0.4655603,2024-02-28 00:00:00
0.46817327,2024-02-28 04:00:00
0.4708124,2024-02-28 08:00:00
0.47347444,2024-02-28 12:00:00
0.47615567,2024-02-28 16:00:00
0.4788519,2024-02-28 20:00:00
0.48155898,2024-02-29 00:00:00
0.48427242,2024-02-29 04:00:00
0.48698834,2024-02-29 08:00:00
0.48970348,2024-02-29 12:00:00
0.49241555,2024-02-29 16:00:00
0.4951232,2024-02-29 20:00:00
0.4978265,2024-03-01 00:00:00
0.50052625,2024-03-01 04:00:00
0.50322396,2024-03-01 08:00:00
0.5059216,2024-03-01 12:00:00
0.5086209,2024-03-01 16:00:00
0.51132315,2024-03-01 20:00:00
0.5140284,2024-03-02 00:00:00
0.5167356,2024-03-02 04:00:00
0.5194426,2024-03-02 08:00:00
0.5221462,2024-03-02 12:00:00
0.524825,2024-03-02 16:00:00
0.52749056,2024-03-02 20:00:00
0.5301425,2024-03-03 00:00:00
0.53278154,2024-03-03 04:00:00
0.53540915,2024-03-03 08:00:00
0.5380276,2024-03-03 12:00:00
0.5406856,2024-03-03 16:00:00
0.5433438,2024-03-03 20:00:00
0.5460018,2024-03-04 00:00:00
0.5486598,2024-03-04 04:00:00
0.55131793,2024-03-04 08:00:00
0.55397594,2024-03-04 12:00:00
0.55663395,2024-03-04 16:00:00
0.559292,2024-03-04 20:00:00
0.56195,2024-03-05 00:00:00
0.56460804,2024-03-05 04:00:00
0.56726605,2024-03-05 08:00:00
0.5699241,2024-03-05 12:00:00
0.5725821,2024-03-05 16:00:00
0.57524025,2024-03-05 20:00:00
0.5778983,2024-03-06 00:00:00
0.58055645,2024-03-06 04:00:00
0.5832145,2024-03-06 08:00:00
0.5858726,2024-03-06 12:00:00
0.5885308,2024-03-06 16:00:00
0.591189,2024-03-06 20:00:00
0.59384716,2024-03-07 00:00:00
0.59650534,2024-03-07 04:00:00
0.5991636,2024-03-07 08:00:00
0.60182184,2024-03-07 12:00:00
0.60448015,2024-03-07 16:00:00
0.6071384,2024-03-07 20:00:00
0.60979676,2024-03-08 00:00:00
0.6124551,2024-03-08 04:00:00
0.6151135,2024-03-08 08:00:00
0.6177719,2024-03-08 12:00:00
0.6204303,2024-03-08 16:00:00
0.6230887,2024-03-08 20:00:00
0.6257472,2024-03-09 00:00:00
0.62840563,2024-03-09 04:00:00
0.63106424,2024-03-09 08:00:00
0.6337227,2024-03-09 12:00:00
0.63638127,2024-03-09 16:00:00
0.63903975,2024-03-09 20:00:00
0.6416983,2024-03-10 00:00:00
0.64435697,2024-03-10 04:00:00
0.6470156,2024-03-10 08:00:00
0.6496742,2024-03-10 12:00:00
0.6523328,2024-03-10 16:00:00
0.6549913,2024-03-10 20:00:00
0.65765,2024-03-11 00:00:00
0.6603087,2024-03-11 04:00:00
0.66296726,2024-03-11 08:00:00
0.6656259,2024-03-11 12:00:00
0.66828454,2024-03-11 16:00:00
0.67094314,2024-03-11 20:00:00
0.67360175,2024-03-12 00:00:00
0.67626035,2024-03-12 04:00:00
0.6789189,2024-03-12 08:00:00
0.68157744,2024-03-12 12:00:00
